id,name,tag,content_category,tag_source
_namnamnamm,NGÔI SAO PHƯƠNG NAMM,Phim ảnh & Truyền hình,Entertainment,video_tag
_namnamnamm,NGÔI SAO PHƯƠNG NAMM,Trang phục,Fashion,video_tag
_ngadangiuvocungluon_,xính lao,Hát nhép,Entertainment,video_tag
_ngadangiuvocungluon_,xính lao,Hướng dẫn & mẹo làm đẹp,Beauty & Personal Care,video_tag
_ngadangiuvocungluon_,xính lao,Nhảy,Entertainment,video_tag
_ngth_hngoc08,Kuromi,Hát nhép,Entertainment,video_tag
_ngth_hngoc08,Kuromi,Nhảy,Entertainment,video_tag
_ngth_hngoc08,Kuromi,Trang phục,Fashion,video_tag
_ngtragn.30.07_,Ng Trang,Hát nhép,Entertainment,video_tag
_ngtragn.30.07_,Ng Trang,Ảnh tự chụp,Lifestyle,video_tag
_nhitg_,Nhi Tăng 💖,Cuộc sống hàng ngày,Lifestyle,video_tag
_nhitg_,Nhi Tăng 💖,Khám phá nhà hàng,Food & Beverage,video_tag
_only.ctha,Bông,Hát nhép,Entertainment,video_tag
_only.ctha,Bông,Hướng dẫn & mẹo làm đẹp,Beauty & Personal Care,video_tag
_pham_bich_nga_,Chuyện Nhà Em Sóc 🐿️,Gia đình,Family & Relationship,video_tag
_pham_bich_nga_,Chuyện Nhà Em Sóc 🐿️,Trang phục,Fashion,video_tag
_pupunpurin,Tên của tớ là Pun 𝜗𝜚,Cuộc sống hàng ngày,Lifestyle,video_tag
_pupunpurin,Tên của tớ là Pun 𝜗𝜚,Hướng dẫn & mẹo làm đẹp,Beauty & Personal Care,video_tag
_pupunpurin,Tên của tớ là Pun 𝜗𝜚,Nhảy,Entertainment,video_tag
_quangduc16,Trần Quang Đức,Hát nhép,Entertainment,video_tag
_quangduc16,Trần Quang Đức,Nhảy,Entertainment,video_tag
_quynhunne,Hồ Quỳnh Hương ( Út Hương ),Cuộc sống hàng ngày,Lifestyle,video_tag
_quynhunne,Hồ Quỳnh Hương ( Út Hương ),Hướng dẫn & mẹo làm đẹp,Beauty & Personal Care,video_tag
_quynhunne,Hồ Quỳnh Hương ( Út Hương ),Ảnh tự chụp,Lifestyle,video_tag
_thanh_pha,Thanh Pha Music 🎧,Âm nhạc,Entertainment,video_tag
_thanhthuy.hhvn_,Huỳnh Thanh Thủy,Cuộc sống hàng ngày,Lifestyle,video_tag
_thanhthuy.hhvn_,Huỳnh Thanh Thủy,Hướng dẫn & mẹo làm đẹp,Beauty & Personal Care,video_tag
_thanhthuy.hhvn_,Huỳnh Thanh Thủy,Phim ảnh & Truyền hình,Entertainment,video_tag
_thuys.ngaan,_thuys.ngaan,Hướng dẫn & mẹo làm đẹp,Beauty & Personal Care,video_tag
_thuys.ngaan,_thuys.ngaan,Thiết kế & chăm sóc tóc,Beauty & Personal Care,video_tag
_tiennghi06_,Hoàng Tiến Nghị🍀,Trò chơi điện tử,Gaming,video_tag
_tradangditam,Bùi Thu Trà,Hướng dẫn & mẹo làm đẹp,Beauty & Personal Care,video_tag
_tradangditam,Bùi Thu Trà,Nhảy,Entertainment,video_tag
_trxmix_,Bé Năm Tạp Quá,Trang phục,Fashion,video_tag
_withlyy,Ly ghét ăn rau 🥦,Cuộc sống hàng ngày,Lifestyle,video_tag
_withlyy,Ly ghét ăn rau 🥦,Nhảy,Entertainment,video_tag
_wiyc.knz,mt🐇,Nhảy,Entertainment,video_tag
_wiyc.knz,mt🐇,Trang phục,Fashion,video_tag
_wiyc.knz,mt🐇,Ảnh tự chụp,Lifestyle,video_tag
a.ninhh_,Ninh Anh Bùi,Cuộc sống hàng ngày,Lifestyle,video_tag
a.ninhh_,Ninh Anh Bùi,Nấu ăn & Công thức nấu ăn,Food & Beverage,video_tag
a.ninhh_,Ninh Anh Bùi,Phim ảnh & Truyền hình,Entertainment,video_tag
actress.lanhuong,Lê Lý Lan Hương,Hướng dẫn & mẹo làm đẹp,Beauty & Personal Care,video_tag
adinhsg,a Dinh,Cuộc sống hàng ngày,Lifestyle,video_tag
adinhsg,a Dinh,Du lịch,Travel & Outdoor,video_tag
adinhsg,a Dinh,Nhà cửa & Vườn tược,Home & Living,video_tag
afamilyngaylucnay,aFamily Ngay Lúc Này,Tin tức giải trí,Entertainment,video_tag
afamilyngaylucnay,aFamily Ngay Lúc Này,Tin tức thể thao,Sports & Fitness,video_tag
afamilyngaylucnay,aFamily Ngay Lúc Này,Tin tức xã hội & Sự kiện,News & Social Issues,video_tag
aifuongg,Ai Fuong,Du lịch,Travel & Outdoor,video_tag
aifuongg,Ai Fuong,Gia đình,Family & Relationship,video_tag
