id,name,country,collab_score,broadcast_score,commerce_score,followers_num,median_views_num,engagement_pct,price_num,field_tags,video_tags,cpv,view_rate_pct,creator_segment,price_tier,potential_group
chengtom02,Cheng🦐,Việt Nam,77.8,94.4,,5400000.0,992600.0,7.66,48393565.0,"Chăm sóc da, Làm đẹp và chăm sóc cá nhân, Thực phẩm và Đồ uống, Tin tức và Giải trí","Cuộc sống hàng ngày, Gia đình, Trang phục, Tình yêu & Mối quan hệ lãng mạn",48.75434716905098,18.381481481481483,Mega,High,General / Low Priority
chicano.official,Chị Cano Official,Việt Nam,78.65,95.44999999999999,,1500000.0,140050.0,5.76,4870390.0,"Làm đẹp và chăm sóc cá nhân, Sản phẩm chăm sóc cá nhân và làm đẹp khác, Thực phẩm và Đồ uống, Tin tức và Giải trí","Cuộc sống hàng ngày, Hài kịch, Phim ảnh & Truyền hình",34.77607997143877,9.336666666666666,Mega,Low,General / Low Priority
chichbong13,Chích Bôngg,Việt Nam,77.15,91.0,,441400.0,59400.0,3.995,2236158.0,,Mukbang & Nếm thức ăn,37.64575757575758,13.457181694608064,Mid-tier,Low,General / Low Priority
chichilinh__,Chi Chi Linh☕️,Việt Nam,89.19999999999999,91.94999999999999,,3400000.0,191750.0,5.69,22500000.0,"Chăm sóc da, Làm đẹp và chăm sóc cá nhân, Thực phẩm và Đồ uống, Tin tức và Giải trí","Hát nhép, Hướng dẫn & mẹo làm đẹp, Nhảy",117.34028683181225,5.639705882352941,Mega,High,General / Low Priority
chiendoo,Chiến Đỗ🔫,Việt Nam,73.1,,,5600000.0,397650.0,5.48,7760121.0,Tin tức và Giải trí,"Hài kịch, Trang phục",19.514952847981892,7.100892857142857,Mega,Medium,Cost-efficient
chikhang0311,Chí Khang,Việt Nam,91.4,93.0,96.8,2700000.0,1600000.0,7.93,62406432.0,"Làm đẹp và chăm sóc cá nhân, Mẹ & Bé, Sản phẩm chăm sóc cá nhân và làm đẹp khác, Tin tức và Giải trí",Hài kịch,39.00402,59.25925925925925,Mega,Premium,Collab-ready
chikimhoang0310,Chi Kim Hoàng,Việt Nam,88.2,,,2300000.0,69400.0,3.62,3883723.0,,"Hướng dẫn & mẹo làm đẹp, Nấu ăn & Công thức nấu ăn, Trang phục",55.9614265129683,3.017391304347826,Mega,Low,General / Low Priority
china.boys3,China Boys,Việt Nam,80.0,97.4,,2100000.0,3800.0,10.78,10000000.0,,Nhảy,2631.5789473684213,0.18095238095238095,Mega,Medium,High Reach - Low Efficiency
chipupu,Chi Pu,Việt Nam,77.9,93.7,,3400000.0,281450.0,6.699999999999999,18616531.0,"Làm đẹp và chăm sóc cá nhân, Mỹ phẩm, Thương mại điện tử (không dùng ứng dụng)","Nhảy, Phim ảnh & Truyền hình, Âm nhạc",66.14507372535085,8.277941176470588,Mega,High,General / Low Priority
chloedo198,Ngân thứt làm đẹp 💅🏻,Việt Nam,90.9,94.4,,773300.0,59300.0,6.14,1513140.0,,"Cuộc sống hàng ngày, Hướng dẫn & mẹo làm đẹp, Tin tức xã hội & Sự kiện",25.516694772344014,7.668433984223458,Macro,Low,Collab-ready
chocotrucphuong,Choco Trúc Phương ✨,Việt Nam,79.3,96.5,,550800.0,100300.0,6.75,4984701.0,"Chăm sóc da, Làm đẹp và chăm sóc cá nhân","Hài kịch, Hát nhép",49.69791625124626,18.209876543209877,Macro,Low,General / Low Priority
cholondowntown,※ Cholon Downtown 堤岸之聲 ※,Việt Nam,75.2,,,418800.0,41700.0,3.42,2275649.0,,"Cuộc sống hàng ngày, Khám phá nhà hàng",54.57191846522782,9.95702005730659,Mid-tier,Low,General / Low Priority
chou.iu,Chou.iu,Việt Nam,79.0,95.1,,831150.0,132100.0,9.575,3064948.0,"May mặc & Phụ kiện, Thực phẩm và Đồ uống, Tin tức và Giải trí, Trang phục và phụ kiện khác","Cuộc sống hàng ngày, Hướng dẫn & mẹo làm đẹp",23.201725965177896,15.893641340311618,Macro,Low,General / Low Priority
chouchinchan,Chou Lười Makeup,Việt Nam,87.45,91.6,,612800.0,218000.0,6.16,8901327.0,"Làm đẹp và chăm sóc cá nhân, Mỹ phẩm, Thiết bị, Thương mại điện tử (không dùng ứng dụng)",Hướng dẫn & mẹo làm đẹp,40.831775229357795,35.574412532637076,Macro,Medium,Collab-ready
chuchu0403,ChuChu,Việt Nam,72.2,,,2100000.0,21100.0,2.81,1395621.0,Tin tức và Giải trí,Âm nhạc,66.14317535545024,1.0047619047619047,Mega,Low,General / Low Priority
chuliemeomeo22807,Julie Hgg,Việt Nam,88.9,96.5,91.2,207500.0,208400.0,10.69,14500000.0,,"Hát nhép, Hướng dẫn & mẹo làm đẹp, Tình yêu & Mối quan hệ lãng mạn",69.57773512476008,100.43373493975905,Mid-tier,Medium,Collab-ready
chumacthuyquynh,Chu Mạc Thuý Quỳnh,Việt Nam,79.8,98.6,,505700.0,59200.0,6.25,1454359.0,"Làm đẹp và chăm sóc cá nhân, May mặc & Phụ kiện, Mỹ phẩm, Ứng dụng","Hát nhép, Hướng dẫn & mẹo làm đẹp",24.566875,11.706545382637927,Macro,Low,General / Low Priority
chungtunn,Chung Tũnn,Việt Nam,76.55,,,1300000.0,244950.0,2.205,10000000.0,,Hài kịch,40.824658093488466,18.842307692307692,Mega,Medium,General / Low Priority
chunhami,Chu Nhã Mi ✨,Việt Nam,78.1,95.9,,942900.0,21750.0,4.8100000000000005,581744.0,,"Hát nhép, Hướng dẫn & mẹo làm đẹp",26.746850574712642,2.3067133312122174,Macro,Low,General / Low Priority
chunneh._,CHUN,Việt Nam,87.9,93.1,,586100.0,34800.0,15.51,1482666.0,"Chăm sóc da, Làm đẹp và chăm sóc cá nhân, May mặc & Phụ kiện, Tin tức và Giải trí","Hướng dẫn & mẹo làm đẹp, Phim ảnh & Truyền hình, Tiểu phẩm",42.60534482758621,5.937553318546323,Macro,Low,Collab-ready
