ID,Name,Country,Collab Score,Broadcast Score,Commerce Score,Followers,Median Views,Engagement,Price,Field Tags,Video Tags
lingggtit,linhtitxinh,Việt Nam,77.2,94.4,N/A,"874,6K","214,2K","11,51%",70.000.000 VND,,Nhảy
haluatsu,Luật sư Hà🇻🇳,Việt Nam,73.0,N/A,N/A,"4,3M","567,4K","3,49%",34.281.689 VND,Dịch vụ kinh doanh,Nhân văn & Khoa học
kuuden_1301,Kuu Dễn,Việt Nam,91.8,95.1,N/A,"840,3K","232,5K","6,53%",45.052.484 VND,,"Hát nhép, Nhảy, Hướng dẫn & mẹo làm đẹp"
thevinh_1510,Đoàn Thế Vinh,Việt Nam,82.1,98.7,N/A,"1,1M","88,8K","5,26%",7.005.372 VND,,"Nấu ăn & Công thức nấu ăn, Cuộc sống hàng ngày, Nhảy"
monbosua_k4,Mon Bò Sữa 🌻,Việt Nam,87.2,91.8,N/A,"2,2M","191,4K","5,11%",4.000.000 VND,,Trò chơi điện tử
kimanhne_36,𝐊𝐚𝐧𝐡 𝐃𝐚̂𝐮𝐮 🍓,Việt Nam,80.4,93.7,N/A,"1,9M","459,2K","7,09%",15.000.000 VND,,"Nhảy, Hướng dẫn & mẹo làm đẹp"
cahebietnhayy,Cá hề biết nhảy 🩵,Việt Nam,93.3,95.8,100.0,"2,8M","1,5M","7,36%",3.000.000 VND,Thương mại điện tử (không dùng ứng dụng),"Thể thao truyền thống, Nhảy, Hài kịch"
trien.13,TRIỂN CHILL,Việt Nam,78.3,96.5,N/A,"724,8K","29,6K","7,13%",2.716.378 VND,"Làm đẹp và chăm sóc cá nhân, Chăm sóc da",Cuộc sống hàng ngày
ttruc.__,lạnh lùng nhất tiktok,Việt Nam,77.6,95.8,N/A,"3,2M",805K,"7,70%",23.419.166 VND,"Tin tức và Giải trí, Làm đẹp và chăm sóc cá nhân, Thương mại điện tử (không dùng ứng dụng), Mỹ phẩm","Hát nhép, Nhảy"
hongthy0509,𝐇𝐨̂̀𝐧𝐠 𝐓𝐡𝐲🌻🐝ᰔᩚ,Việt Nam,79.1,91.8,N/A,"1,3M","50,2K","9,87%",6.000.000 VND,,"Hát nhép, Nhảy, Hướng dẫn & mẹo làm đẹp"
athet20,Ah Thet,Việt Nam,80.5,98.0,N/A,"1,4M","13,5K","9,12%",8.801.191 VND,,Trang phục
fanhuq,Phan Hưng,Việt Nam,82.2,99.3,N/A,"702,2K",189K,"24,85%",10.000.000 VND,,Hoạt hình & Cosplay
sammy.becool,Sammy 🍆,Việt Nam,80.4,95.1,N/A,"2,1M","667,7K","8,99%",5.259.000 VND,"Thực phẩm và Đồ uống, Tin tức và Giải trí, Thương mại điện tử (không dùng ứng dụng)","Đồ uống & Sản xuất, Nấu ăn & Công thức nấu ăn"
nghggkhanh,khanhpink,Việt Nam,79.8,99.3,N/A,1M,"45,6K","7,61%",9.644.892 VND,,"Hướng dẫn & mẹo làm đẹp, Trang phục, Ảnh tự chụp"
hoanglananh31,Hoàng Lan Anh,Việt Nam,90.3,94.4,92.8,"3,7M","400,5K","9,86%",98.065.145 VND,,"Hát nhép, Nhảy, Hướng dẫn & mẹo làm đẹp"
jsol.dreams,JSOL,Việt Nam,74.9,91.6,N/A,"5,7M","567,4K","6,88%",7.964.815 VND,"Tin tức và Giải trí, Làm đẹp và chăm sóc cá nhân, Thương mại điện tử (không dùng ứng dụng), Tóc giả và tạo kiểu tóc","Âm nhạc, Cuộc sống hàng ngày, Nhảy"
thelyricsconnection,The Lyrics Connection,Việt Nam,74.5,N/A,N/A,"2,1M",193K,"9,28%",30.950.752 VND,,Âm nhạc
_withlyy,Ly ghét ăn rau 🥦,Việt Nam,78.6,93.1,N/A,"941,5K","68,3K","13,05%",3.054.587 VND,,"Cuộc sống hàng ngày, Nhảy"
sophia.beauty99,Thuỷ Sophia,Việt Nam,93.1,96.5,100.0,"1,7M","102,2K","12,12%",19.000.000 VND,"Thực phẩm và Đồ uống, Làm đẹp và chăm sóc cá nhân, Thương mại điện tử (không dùng ứng dụng), Sản phẩm chăm sóc cá nhân và làm đẹp khác",Hướng dẫn & mẹo làm đẹp
detv044,Đệ Đệ TV🐣,Việt Nam,78.8,93.8,N/A,"1,9M","50,8K","4,62%",3.506.024 VND,,Trò chơi điện tử
thaybeou40,Thầy Beo U40,Việt Nam,79.4,93.0,N/A,"6,1M","119,3K","3,85%",17.790.126 VND,,Cuộc sống hàng ngày
hoangvinhhh,Nguyễn Hoàng Vinh,Việt Nam,78.0,93.0,N/A,"13,1M","530,5K","10,01%",13.147.500 VND,Tin tức và Giải trí,"Ảnh tự chụp, Âm nhạc, Trò chơi điện tử"
theanh28gaming,Theanh28 Gaming,Việt Nam,78.6,94.5,N/A,"2,7M","113,9K","5,24%",1.961.455 VND,"Làm đẹp và chăm sóc cá nhân, Game, Dịch vụ đời sống, Tóc giả và tạo kiểu tóc","Trò chơi điện tử, Tin tức xã hội & Sự kiện"
anhmoney,Anh Money 💰,Việt Nam,75.3,N/A,N/A,"2,7M","1,6M","6,72%",90.645.054 VND,"Ứng dụng, Game",Hài kịch
huyn3535,Huyền,Việt Nam,89.7,94.4,N/A,1M,"87,6K","13,30%",5.378.614 VND,,"Hát nhép, Nhảy"
theforumcenter,Huy Forum,Việt Nam,91.1,97.2,N/A,"1,3M","48,9K","12,37%",6.650.257 VND,"Tin tức và Giải trí, Giáo dục","Cuộc sống hàng ngày, Chăm sóc thú cưng, Trò chơi điện tử"
soanhtran98,Soanh Tran,Việt Nam,76.3,92.3,N/A,"4,4M","1,3M","6,81%",39.442.500 VND,"Công nghệ & Đồ điện tử, Làm đẹp và chăm sóc cá nhân, May mặc & Phụ kiện, Chăm sóc da","Tình yêu & Mối quan hệ lãng mạn, Cuộc sống hàng ngày, Hài kịch"
thanhthao15.03,Nguyễn Thanh Thảo 🐰,Việt Nam,76.0,91.6,N/A,"1,6M","159,5K","7,23%",4.261.944 VND,"Làm đẹp và chăm sóc cá nhân, Game, May mặc & Phụ kiện, Chăm sóc da",Nhảy
