ID,Name,Country,Collab Score,Broadcast Score,Commerce Score,Followers,Median Views,Engagement,Price,Field Tags,Video Tags
ongthibalong,Ông Thỉ Bà Long 🌚,Việt Nam,89.9,95.8,94.4,"1,1M","113,6K","9,03%",18.000.000 VND,"Tin tức và Giải trí, Làm đẹp và chăm sóc cá nhân, Thương mại điện tử (không dùng ứng dụng), Sản phẩm chăm sóc cá nhân và làm đẹp khác",Tình yêu & Mối quan hệ lãng mạn
lucas_ke_chuyen,Lucas Kể Chuyện,Việt Nam,92.7,98.6,N/A,"784,8K","59,8K","40,46%",3.500.000 VND,,Trò chơi điện tử
utthuyss,Út Thuý,Việt Nam,78.3,93.7,N/A,"1,2M","158,6K","15,68%",13.825.209 VND,,Hát nhép
vtvcab.tintuc,VTVcab Tin tức,Việt Nam,N/A,N/A,N/A,"5,2M","312,3K","4,46%",20.238.000 VND,,Tin tức xã hội & Sự kiện
ngkhangg.008,A ri é,Việt Nam,80.2,97.9,N/A,"1,5M","630,8K","20,53%",14.935.334 VND,,"Tiểu phẩm, Hài kịch"
maitrithuc2020,Mai Trí Thức,Việt Nam,81.1,97.2,N/A,"2,2M","704,4K","16,62%",34.760.565 VND,,"Hát nhép, Hài kịch"
n.huyen2k4,Huyềnn Bạchh Đâyyy🐰,Việt Nam,78.2,94.5,N/A,"2,1M","79,8K","14,92%",7.114.438 VND,"Sức khỏe, Làm đẹp và chăm sóc cá nhân, May mặc & Phụ kiện, Chăm sóc da","Nhảy, Hướng dẫn & mẹo làm đẹp"
biquyetdodaihoc,Bí quyết đỗ Đại Học Tạ Duy Hải,Việt Nam,76.9,N/A,N/A,"1,5M","23,9K","7,47%",911.543 VND,,"Cuộc sống sinh viên, Giáo dục học đường, Cuộc sống hàng ngày"
nguyen_huynh_tien,Nguyễn Huỳnh Tiên,Việt Nam,81.3,95.9,N/A,"3,1M","57,5K","12,57%",20.000.000 VND,,"Nhảy, Ảnh tự chụp"
nemnotname231203,NEM PHẠM,Việt Nam,77.9,95.8,N/A,"1,4M","36,2K","10,71%",1.430.517 VND,"Làm đẹp và chăm sóc cá nhân, Chăm sóc miệng","Tiểu phẩm, Cuộc sống hàng ngày"
hoailinh_206,Linh thỏ ♡ ̊ ✧,Việt Nam,78.8,93.7,N/A,"1,3M","142,5K","15,58%",17.779.592 VND,Ứng dụng,"Hát nhép, Nhảy"
60giay.com,60giay.com,Việt Nam,76.3,N/A,N/A,"12,6M","228,4K","5,04%",19.861.124 VND,"Dịch vụ kinh doanh, Thiết bị, Làm đẹp và chăm sóc cá nhân, Sản phẩm chăm sóc cá nhân và làm đẹp khác","Tin tức giải trí, Tin tức xã hội & Sự kiện"
xuanca._,Xuan Ca,Việt Nam,78.9,96.5,N/A,"2,8M","264,9K","9,51%",21.402.658 VND,,"Ảnh tự chụp, Nhảy"
hoanghieptiktok,Hoàng Hiệp Entertainment,Việt Nam,80.0,94.4,N/A,3M,"187,4K","11,50%",7.453.037 VND,Tin tức và Giải trí,"Âm nhạc, Hài kịch"
phecongai,Phe Con Gái,Việt Nam,80.0,97.2,N/A,1M,"329,8K","13,52%",14.912.012 VND,,"Hát nhép, Tình yêu & Mối quan hệ lãng mạn"
dntminh,Vitamin Mèo,Việt Nam,76.9,92.3,N/A,"2,6M","1,1M","14,57%",33.519.570 VND,"Sức khỏe, Thiết bị, Thú cưng",Chăm sóc thú cưng
hanoinews.theanh28,Hà Nội News,Việt Nam,78.2,93.0,N/A,"5,6M","160,6K","5,13%",10.013.662 VND,"Thực phẩm và Đồ uống, Sản phẩm gia dụng, Làm đẹp và chăm sóc cá nhân, Tóc giả và tạo kiểu tóc",Tin tức xã hội & Sự kiện
theanh28entertainment,Theanh28 Entertainment,Việt Nam,78.0,93.0,N/A,"14,9M",309K,"5,11%",20.840.508 VND,"Thiết bị, Sản phẩm gia dụng, Làm đẹp và chăm sóc cá nhân, Sản phẩm chăm sóc cá nhân và làm đẹp khác",Tin tức xã hội & Sự kiện
minhnhatdz5402,David Minh Nhật,Việt Nam,77.5,94.4,N/A,"1,6M","630,5K","8,63%",16.430.354 VND,"Làm đẹp và chăm sóc cá nhân, Thương mại điện tử (không dùng ứng dụng), May mặc & Phụ kiện, Chăm sóc da","Hài kịch, Âm nhạc"
phamtrunghiep1,NGƯỜI VIỆT NAM🇻🇳,Việt Nam,79.4,95.9,N/A,"1,3M",44K,"13,79%",2.010.050 VND,,Nhân văn & Khoa học
lnamdng8,Nam Dương,Việt Nam,80.5,94.4,N/A,"2,6M","66,1K","6,29%",1.000.000 VND,,Động vật hoang dã & Thú cưng lạ
hungdidu1907,Hùng Didu,Việt Nam,92.2,98.6,N/A,"1,5M","1,7M","10,98%",43.089.772 VND,"Công nghệ & Đồ điện tử, Tin tức và Giải trí, Làm đẹp và chăm sóc cá nhân, Chăm sóc da",Tình yêu & Mối quan hệ lãng mạn
_withlyy,Ly ghét ăn rau 🥦,Việt Nam,78.5,97.3,N/A,"942,4K","50,6K","15,25%",3.054.587 VND,,"Cuộc sống hàng ngày, Nhảy"
d.dragon1712,elm zai chị Nguyệt.,Việt Nam,81.0,98.6,N/A,"1,6M","1,8M","14,36%",20.784.935 VND,"Thực phẩm và Đồ uống, Tin tức và Giải trí","Giáo dục học đường, Cuộc sống hàng ngày, Cuộc sống sinh viên"
iamsarajoe,sara joe,Việt Nam,78.6,99.3,N/A,"3,3M",1M,"10,52%",4.333.809 VND,"Làm đẹp và chăm sóc cá nhân, Mỹ phẩm","Nhảy, Hát nhép"
jsol.dreams,JSOL,Việt Nam,76.0,91.6,N/A,"5,7M",522K,"7,06%",7.964.815 VND,"Tin tức và Giải trí, Làm đẹp và chăm sóc cá nhân, Thương mại điện tử (không dùng ứng dụng), Tóc giả và tạo kiểu tóc","Âm nhạc, Cuộc sống hàng ngày, Nhảy"
caonho,CÁO NHỎ,Việt Nam,78.0,95.8,N/A,"4,5M","190,6K","9,57%",11.339.274 VND,"Thực phẩm và Đồ uống, Tin tức và Giải trí, Thương mại điện tử (không dùng ứng dụng)",Hài kịch
zixinhdep,Zika_hila😈,Việt Nam,77.7,94.4,N/A,"2,4M","569,3K","6,59%",13.876.621 VND,"Tin tức và Giải trí, Làm đẹp và chăm sóc cá nhân, May mặc & Phụ kiện, Phụ kiện quần áo","Trang phục, Nhảy, Hướng dẫn & mẹo làm đẹp"
mchibi02,Nhật Minh,Việt Nam,88.5,94.4,95.2,"1,6M","727,1K","9,38%",61.490.598 VND,"Sức khỏe, Làm đẹp và chăm sóc cá nhân, Game, Nước hoa","Tiểu phẩm, Hài kịch"
nganpun9999,Ngân Pun 🇻🇳,Việt Nam,70.0,N/A,N/A,803K,"35,2K","23,27%",160.000 VND,,Nhảy
vtvcab.giaitri24h,Tin tức 24h - Giải trí,Việt Nam,N/A,N/A,N/A,"2,4M",46K,"8,10%",3.203.708 VND,,Tin tức xã hội & Sự kiện
theanh28gaming,Theanh28 Gaming,Việt Nam,78.6,94.5,N/A,"2,6M","98,6K","5,95%",1.961.455 VND,"Làm đẹp và chăm sóc cá nhân, Game, Dịch vụ đời sống, Tóc giả và tạo kiểu tóc","Trò chơi điện tử, Tin tức xã hội & Sự kiện"
hongthy0509,𝓗ồ𝓷𝓰𝓣𝓱𝔂🌻🐝ᰔᩚ,Việt Nam,78.7,91.8,N/A,"1,3M","44,4K","9,47%",6.000.000 VND,,"Nhảy, Hướng dẫn & mẹo làm đẹp"
dongmauviet.official,Dòng Máu Việt,Việt Nam,81.1,96.5,N/A,"3,1M","72,2K","5,96%",300.000 VND,,Nhân văn & Khoa học
beat_thegame,Beat the Game!,Việt Nam,80.0,97.9,N/A,"1,6M","252,3K","8,22%",5.881.982 VND,Game,"Trò chơi điện tử, Tin tức thể thao, Tin tức xã hội & Sự kiện"
gonpinkk,Gon Pink,Việt Nam,77.9,91.6,N/A,"3,4M","788,7K","5,11%",15.000.000 VND,"Tin tức và Giải trí, Làm đẹp và chăm sóc cá nhân, May mặc & Phụ kiện, Chăm sóc da","Cuộc sống hàng ngày, Nhảy"
huyseoul_idol,Oppa Huy IDol,Việt Nam,78.9,91.6,N/A,"14,4M","692,8K","7,77%",60.327.198 VND,Tin tức và Giải trí,Tiểu phẩm
ducthangds,Đức Thắng Ds,Việt Nam,81.8,100.0,N/A,"1,9M","56,9K","4,68%",1.316.000 VND,"Ứng dụng, Tin tức và Giải trí","Nhiếp ảnh & Hiệu ứng đặc biệt, Phần mềm & Ứng dụng, Nghệ thuật"
giadinhtruyenhinh,Gia đình Truyền Hình,Việt Nam,77.8,93.0,N/A,"1,9M","699,7K","6,45%",15.493.582 VND,"Tin tức và Giải trí, Sản phẩm gia dụng, Làm đẹp và chăm sóc cá nhân, Sản phẩm chăm sóc cá nhân và làm đẹp khác","Cuộc sống hàng ngày, Phim ảnh & Truyền hình, Gia đình"
dukesodope,Người Việt gốc cây 🌲,Việt Nam,78.0,95.1,N/A,"1,8M","661,7K","9,61%",9.384.625 VND,"Thể thao và Hoạt động ngoài trời, Ứng dụng",Cuộc sống hàng ngày
ninhanh01,Ninh Anh,Việt Nam,79.9,96.5,N/A,"2,5M","476,2K","8,89%",9.000.000 VND,,Nhảy
cahebietnhayy,Cá hề biết nhảy 🩵,Việt Nam,95.1,90.2,99.2,"2,5M","602,5K","6,34%",3.000.000 VND,Thương mại điện tử (không dùng ứng dụng),"Nhảy, Hài kịch"
quynhsanhdieu,Quỳnh Sành Điệu 👻,Việt Nam,96.3,95.8,96.8,"2,3M","176,5K","3,95%",7.000.000 VND,"Dịch vụ kinh doanh, Thương mại điện tử (không dùng ứng dụng), Game","Trò chơi điện tử, Cuộc sống hàng ngày"
melon.228,Melon nè !,Việt Nam,79.6,90.2,N/A,"2,9M",547K,"7,55%",16.575.703 VND,"Thực phẩm và Đồ uống, Làm đẹp và chăm sóc cá nhân, May mặc & Phụ kiện, Chăm sóc da","Gia đình, Bé"
ductung.official,Đức Tùng ( DT ),Việt Nam,78.0,94.4,N/A,2M,"99,7K","7,07%",14.000.000 VND,"Làm đẹp và chăm sóc cá nhân, Chăm sóc da","Hài kịch, Cuộc sống hàng ngày"
luongquynhnhu148,Lương Quỳnh Như 🍊,Việt Nam,92.4,92.3,94.4,"1,6M","617,4K","6,73%",12.000.000 VND,,"Nhảy, Hướng dẫn & mẹo làm đẹp"
hamidelay2210,Hà Mi Delay,Việt Nam,76.6,91.0,N/A,"1,8M","11,7K","5,34%",6.295.879 VND,,"Ảnh tự chụp, Hát nhép"
_pupunpurin,Tên của tớ là Pun 𝜗𝜚,Việt Nam,80.1,91.6,N/A,2M,"1,8M","7,46%",50.000.000 VND,,"Cuộc sống hàng ngày, Nhảy, Hướng dẫn & mẹo làm đẹp"
yeunutmotchut,Nguyễn Uyên Trang🌻,Việt Nam,89.5,94.4,90.4,"1,6M","85,3K","8,61%",15.000.000 VND,,"Hát nhép, Nhảy"
thelyricsconnection,The Lyrics Connection,Việt Nam,74.5,N/A,N/A,"2,1M","321,7K","9,22%",30.950.752 VND,,Âm nhạc
ydinh_2511,Bạc Hà Xanh,Việt Nam,78.5,95.8,N/A,"687,5K","478,1K","17,89%",15.941.724 VND,,"Cuộc sống sinh viên, Thiên nhiên & Phong cảnh"
boboo7720,𝓒𝓮𝓶...!,Việt Nam,82.1,97.2,N/A,"1,6M",651K,"8,54%",60.000.000 VND,,Trò chơi điện tử
sibichitv0209,Cô Tiên👑Bèo(Mẹ Kem&Kẹo),Việt Nam,96.2,97.2,98.4,"7,5M","167,3K","7,12%",5.000.000 VND,,"Mukbang & Nếm thức ăn, Trò chơi điện tử"
duongduy0404,Dương Duy,Việt Nam,90.7,98.0,92.0,"2,6M",74K,"2,90%",700.000 VND,Tin tức và Giải trí,"Trang phục, Hài kịch"
whynotchaooo,Chao,Việt Nam,79.6,97.2,N/A,2M,"357,3K","4,81%",13.693.385 VND,"Tin tức và Giải trí, Làm đẹp và chăm sóc cá nhân, Thương mại điện tử (không dùng ứng dụng), Chăm sóc da","Cuộc sống hàng ngày, Nhảy, Khám phá nhà hàng"
dangthuhaf,Đặng Thu Hà,Việt Nam,92.7,95.8,97.6,"3,6M",560K,"6,16%",24.586.685 VND,,"Du lịch, Cuộc sống hàng ngày"
24h.tinmoi,24h Bóng Đá,Việt Nam,N/A,N/A,N/A,"2,4M","335,5K","7,15%",39.127.847 VND,,"Thể thao truyền thống, Tin tức thể thao"
sudauto,Su Đầu To,Việt Nam,79.4,96.5,N/A,"2,4M","240,7K","5,81%",4.295.236 VND,Thương mại điện tử (không dùng ứng dụng),"Hát nhép, Trò chơi không phải điện tử, Hài kịch"
duybestvo,duybest 🔥,Việt Nam,78.4,95.8,N/A,"1,4M","649,1K","10,18%",11.887.249 VND,"Thực phẩm và Đồ uống, Tin tức và Giải trí, Làm đẹp và chăm sóc cá nhân, Chăm sóc miệng","Hát nhép, Hài kịch"
ttruc.__,lạnh lùng nhất tiktok,Việt Nam,77.6,95.8,N/A,"3,2M","831,8K","7,32%",23.419.166 VND,"Tin tức và Giải trí, Làm đẹp và chăm sóc cá nhân, Thương mại điện tử (không dùng ứng dụng), Mỹ phẩm","Hát nhép, Nhảy"
chikhang0311,Chí Khang,Việt Nam,91.4,93.0,96.8,"2,7M","1,6M","7,93%",62.406.432 VND,"Tin tức và Giải trí, Làm đẹp và chăm sóc cá nhân, Mẹ & Bé, Sản phẩm chăm sóc cá nhân và làm đẹp khác",Hài kịch
onlypassionmusic,Feeling Soundz,Việt Nam,78.8,93.8,N/A,"1,1M","12,3K","10,69%",1.000.000 VND,,Âm nhạc
khanhvyccf,Khánh Vy Official,Việt Nam,78.4,97.2,N/A,"2,6M","408,8K","7,46%",9.888.774 VND,"Thiết bị, Công nghệ & Đồ điện tử","Nhân văn & Khoa học, Cuộc sống hàng ngày"
junpham2407,Jun Pham,Việt Nam,73.5,N/A,N/A,"1,7M","64,7K","9,05%",2.645.849 VND,Tin tức và Giải trí,"Âm nhạc, Phim ảnh & Truyền hình"
kimchungphan20,Kim Chung Phan,Việt Nam,77.3,93.0,N/A,"2,1M","1,4M","7,58%",43.981.547 VND,,"Tình yêu & Mối quan hệ lãng mạn, Cuộc sống hàng ngày, Hướng dẫn & mẹo làm đẹp"
stelladay13,STELLA DAY 13,Việt Nam,76.9,93.0,N/A,"1,4M","201,1K","8,97%",9.362.473 VND,"Thực phẩm và Đồ uống, Game","Nhân văn & Khoa học, Cuộc sống hàng ngày, Tin tức xã hội & Sự kiện"
song.dao99,Song Đào,Việt Nam,77.3,93.0,N/A,"1,5M","296,7K","6,74%",13.346.723 VND,"Thực phẩm và Đồ uống, Làm đẹp và chăm sóc cá nhân, Thương mại điện tử (không dùng ứng dụng), Chăm sóc miệng","Hài kịch, Gia đình"
baongocc_._,Bảo Ngọc🥑,Việt Nam,78.2,98.6,N/A,"1,2M","271,6K","9,05%",15.000.000 VND,,"Du lịch, Cuộc sống hàng ngày"
mquangwiqw,Minh Quang,Việt Nam,77.0,93.0,N/A,"2,2M","1,5M","7,06%",44.534.897 VND,,Nhảy
duongaivy07,𝐃𝐮̛𝐨̛𝐧𝐠 𝐀́𝐢 𝐕𝐲,Việt Nam,77.4,90.9,N/A,"3,5M","188,8K","5,09%",19.096.144 VND,,"Âm nhạc, Hát nhép"
heyiamlinda,Linda Ngo,Việt Nam,78.0,95.8,N/A,"5,3M","1,3M","5,70%",78.960.000 VND,"Công nghệ & Đồ điện tử, Tin tức và Giải trí, Làm đẹp và chăm sóc cá nhân, Sản phẩm chăm sóc cá nhân và làm đẹp khác",Gia đình
fantastictrend,Fantastic Trend,Việt Nam,77.7,92.3,N/A,"2,1M",242K,"7,27%",12.345.678 VND,,"Tin tức giải trí, Phim ảnh & Truyền hình"
codynamvo,CODYNAMVO,Việt Nam,79.1,97.9,N/A,1M,"504,1K","10,66%",20.377.671 VND,,"Nhảy, Phim ảnh & Truyền hình"
growwithminhee,Em bé nói tiếng Anh MinHee,Việt Nam,78.4,94.4,N/A,"1,5M","960,9K","5,85%",28.920.675 VND,,Gia đình
meosimmyyt,Mèo Simmy,Việt Nam,79.4,95.1,N/A,"7,2M","1,3M","6,54%",76.333.512 VND,"Ứng dụng, Tin tức và Giải trí","Nhảy, Trò chơi không phải điện tử, Cuộc sống hàng ngày"
cattia.ttv_,𝕮𝖆𝖙𝖙𝖎𝖆 ꨄ,Việt Nam,89.2,91.6,96.0,"1,2M","320,6K","8,35%",10.000.000 VND,"Làm đẹp và chăm sóc cá nhân, Thương mại điện tử (không dùng ứng dụng), Mỹ phẩm","Hát nhép, Nhảy, Hướng dẫn & mẹo làm đẹp"
trangtrang1402206,Chang ngố 🥦,Việt Nam,80.2,93.8,N/A,"572,3K","64,2K","18,41%",100.000 VND,"Làm đẹp và chăm sóc cá nhân, Chăm sóc da","Hát nhép, Nhảy"
tranxinh1101,Trần Xuân Quế Trân PDA,Việt Nam,89.2,N/A,92.0,"1,3M","16,4K","12,52%",4.500.000 VND,"Ứng dụng, Làm đẹp và chăm sóc cá nhân, May mặc & Phụ kiện, Chăm sóc da","Hát nhép, Nhảy"
babykopohome,Babykopo home,Việt Nam,92.1,95.8,90.4,"6,7M","606,8K","4,83%",30.000.000 VND,"Thực phẩm và Đồ uống, Làm đẹp và chăm sóc cá nhân, Mẹ & Bé, Sản phẩm chăm sóc cá nhân và làm đẹp khác","Mukbang & Nếm thức ăn, Nấu ăn & Công thức nấu ăn, Cuộc sống hàng ngày"
hoaphanspeed,HOA PHAN,Việt Nam,82.4,98.6,N/A,"1,3M","61,7K","5,24%",14.969.103 VND,"Sức khỏe, Làm đẹp và chăm sóc cá nhân, May mặc & Phụ kiện, Chăm sóc da","Mukbang & Nếm thức ăn, Đồ chơi & Sưu tầm, Cuộc sống hàng ngày"
_halinhtran_,Trần Hà Linh 🐰,Việt Nam,77.9,93.0,N/A,"2,5M","1,9M","5,94%",2.900.000 VND,,"Nhảy, Hướng dẫn & mẹo làm đẹp"
kimanhne_36,𝐊𝐚𝐧𝐡 𝐃𝐚̂𝐮𝐮 🍓,Việt Nam,89.0,93.7,N/A,"1,9M","958,9K","6,20%",15.000.000 VND,,"Hát nhép, Nhảy, Hướng dẫn & mẹo làm đẹp"
dinhtrangthao03,Đinh Trang Thảo,Việt Nam,88.4,91.6,95.2,"7,1M","355,6K","7,58%",5.000.000 VND,"Tin tức và Giải trí, Làm đẹp và chăm sóc cá nhân, May mặc & Phụ kiện, Chăm sóc da",Hài kịch
yenkhachhanglathuongde,Hồng Yên,Việt Nam,78.5,93.0,N/A,"1,8M","331,5K","6,26%",2.884.269 VND,,"Âm nhạc, Cuộc sống hàng ngày"
nuchuu.0401,Nuchuu nè✨💎,Việt Nam,76.6,90.4,N/A,"749,2K","54,4K","6,59%",8.000.000 VND,"Thực phẩm và Đồ uống, Tin tức và Giải trí","Cuộc sống hàng ngày, Khám phá nhà hàng"
1101_ndt,Ng Doan Trang,Việt Nam,79.9,91.7,N/A,"592,7K","55,5K","13,03%",5.000.000 VND,,"Nhảy, Hướng dẫn & mẹo làm đẹp"
hnil_khh,khánh linh,Việt Nam,76.9,93.8,N/A,"996,1K","81,4K","10,29%",3.786.058 VND,,"Hát nhép, Nhảy, Hướng dẫn & mẹo làm đẹp"
soanhtran98,Soanh Tran,Việt Nam,77.4,92.3,N/A,"4,4M","1,3M","6,63%",39.480.000 VND,"Công nghệ & Đồ điện tử, Làm đẹp và chăm sóc cá nhân, May mặc & Phụ kiện, Chăm sóc da","Tình yêu & Mối quan hệ lãng mạn, Cuộc sống hàng ngày, Hài kịch"
littlequanzz,con Cò đây,Việt Nam,77.9,95.8,N/A,"1,1M","513,9K","9,62%",40.567.250 VND,"Ứng dụng, Làm đẹp và chăm sóc cá nhân, Thương mại điện tử (không dùng ứng dụng), Sản phẩm chăm sóc cá nhân và làm đẹp khác","Cuộc sống hàng ngày, Hài kịch, Gia đình"
sammy_dao222,Sammy Đào,Việt Nam,75.5,93.0,N/A,"5,3M","1,9M","6,35%",32.873.757 VND,Thương mại điện tử (không dùng ứng dụng),"Cuộc sống hàng ngày, Nhảy"
womanvietnam.vn,Woman Vietnam,Việt Nam,N/A,N/A,N/A,"3,3M","399,5K","4,63%",1.000.000 VND,,Tin tức xã hội & Sự kiện
tin_nguyen_9,Tín Nguyễn,Việt Nam,77.7,91.6,N/A,"5,5M","138,9K","5,62%",19.402.492 VND,"Tin tức và Giải trí, Làm đẹp và chăm sóc cá nhân, Chăm sóc da","Cuộc sống hàng ngày, Phim ảnh & Truyền hình, Hài kịch"
atvy229,A Vy,Việt Nam,75.2,90.2,N/A,"1,6M","339,3K","4,07%",6.000.000 VND,,"Nhảy, Hát nhép, Tình yêu & Mối quan hệ lãng mạn"
davoslingo,Davo’s Lingo,Việt Nam,87.1,96.5,N/A,"4,2M","246,8K","7,46%",26.320.000 VND,"Thiết bị, Sản phẩm gia dụng","Nhân văn & Khoa học, Tin tức xã hội & Sự kiện"
nguyenphilong2006,LongR Official,Việt Nam,79.8,97.2,N/A,"1,1M","488,5K","6,72%",5.000.000 VND,,Trò chơi điện tử
cimngan0503,Cim Ngân 🍑,Việt Nam,80.0,95.8,N/A,"2,1M","139,8K","4,74%",30.000.000 VND,,Hướng dẫn & mẹo làm đẹp
oanhgau188,Oanh Gấu 🐼,Việt Nam,78.4,95.8,N/A,"4,2M","45,6K","5,94%",5.656.351 VND,,"Trang phục, Hướng dẫn & mẹo làm đẹp"
patoo.204,Phanhh Tô,Việt Nam,79.5,96.5,N/A,853K,"242,6K","11,04%",5.000.000 VND,,"Nhảy, Hướng dẫn & mẹo làm đẹp"
tacongbang2000,TẠ CÔNG BẰNG,Việt Nam,76.9,93.0,N/A,5M,340K,"5,08%",8.444.732 VND,"Thiết bị, Tin tức và Giải trí, May mặc & Phụ kiện, Trang phục và phụ kiện khác","Nấu ăn & Công thức nấu ăn, Cuộc sống hàng ngày, Gia đình"
lcdt.306,Lê Công Duy Tính 🎨,Việt Nam,76.8,N/A,N/A,"1,4M","62,4K","5,74%",3.924.385 VND,,Nghệ thuật
lelephomaiquee,Lùn mà cháy 🔥,Việt Nam,77.9,91.6,N/A,"2,8M",349K,6%,22.294.087 VND,"Ứng dụng, Làm đẹp và chăm sóc cá nhân, May mặc & Phụ kiện, Mỹ phẩm",Nhảy
rbyhaan,Tô Đát Kỷ,Việt Nam,79.7,97.9,N/A,740K,"184,3K","9,03%",20.256.337 VND,"Làm đẹp và chăm sóc cá nhân, May mặc & Phụ kiện, Nước hoa","Nhiếp ảnh & Hiệu ứng đặc biệt, Hướng dẫn & mẹo làm đẹp, Hát nhép"
be7cutequa,BÉ 7,Việt Nam,75.3,N/A,N/A,"1,7M","155,8K","5,51%",25.000.000 VND,"Ứng dụng, Tin tức và Giải trí","Cuộc sống hàng ngày, Phim ảnh & Truyền hình, Hài kịch"
datdo0803,Đỗ Đạt,Việt Nam,76.0,91.6,N/A,"10,5M","2,5M","5,86%",52.442.535 VND,"Thể thao và Hoạt động ngoài trời, Thực phẩm và Đồ uống, May mặc & Phụ kiện, Trang phục và phụ kiện khác",Hài kịch
lebaoofficial,Lê Bảo,Việt Nam,77.4,94.4,N/A,"5,3M","1,7M","6,21%",68.084.674 VND,"Thực phẩm và Đồ uống, Tin tức và Giải trí, Làm đẹp và chăm sóc cá nhân, Chăm sóc da","Âm nhạc, Hài kịch"
samngofficial,Sam Official,Việt Nam,92.2,N/A,96.8,"2,2M","15,8K","1,71%",2.573.933 VND,,"Cuộc sống hàng ngày, Hài kịch"
chamsuaa,Châm Sứa 👑,Việt Nam,76.6,93.8,N/A,"2,8M","197,8K","5,18%",10.000.000 VND,,"Thiết kế & chăm sóc tóc, Phỏng vấn đường phố & Thử nghiệm xã hội"
swatnata,SWAT✓ NaTa,Việt Nam,78.6,94.4,N/A,"1,4M","720,9K","6,93%",10.518.244 VND,,Trò chơi điện tử
jettvn,Jett,Việt Nam,80.0,97.4,N/A,"825,1K","8,7K","8,28%",500.000 VND,,Trò chơi điện tử
quyquatqueoo,Quy Quắt Quẻo,Việt Nam,79.4,95.8,N/A,"699,4K","53,5K","11,95%",4.065.356 VND,,Nhảy
kenh14official,Kenh14.vn,Việt Nam,76.3,N/A,N/A,"9,3M","441,9K","4,93%",15.370.775 VND,,"Tin tức giải trí, Tin tức thể thao, Tin tức xã hội & Sự kiện"
bebiitv,Bé Bii 🎃,Việt Nam,77.8,94.4,N/A,2M,"229,9K","6,23%",15.000.000 VND,,"Ảnh tự chụp, Trò chơi điện tử"
baongan.549,Bảo Ngân 549,Việt Nam,91.7,N/A,96.0,2M,"66,9K","4,47%",10.000.000 VND,,"Âm nhạc, Tiểu phẩm, Cuộc sống hàng ngày"
tieungao1907,Tiểuu Ngáoo,Việt Nam,78.5,91.6,N/A,"4,9M","492,3K","4,92%",31.584.000 VND,"Sức khỏe, Tin tức và Giải trí, Làm đẹp và chăm sóc cá nhân, Chăm sóc da",Hài kịch
schannelvn,Schannelvn,Việt Nam,77.1,90.2,N/A,3M,"187,3K",6%,9.218.295 VND,Tin tức và Giải trí,"Cuộc sống sinh viên, Trò chơi không phải điện tử, Cuộc sống hàng ngày"
huongthuf,Hương Thù,Việt Nam,80.9,100.0,N/A,"761,2K","701,4K","12,61%",37.442.914 VND,,Hướng dẫn & mẹo làm đẹp
radiovenn,ʀᴀᴅɪᴏ ♪ ♪,Việt Nam,76.6,N/A,N/A,"926,1K","7,2K","7,06%",936.989 VND,,"Âm nhạc, Thiên nhiên & Phong cảnh"
ngoanhtan1,Tấn Xa Nhà,Việt Nam,78.0,96.5,N/A,1M,"62,7K","9,41%",884.363 VND,"Thực phẩm và Đồ uống, Tin tức và Giải trí",Hài kịch
.bepdiiday._,Bẹp bẹp,Việt Nam,79.6,93.7,N/A,"1,7M","537,4K","5,42%",10.000.000 VND,,"Nhảy, Hướng dẫn & mẹo làm đẹp"
a.ninhh_,Ninh Anh Bùi,Việt Nam,77.9,93.7,N/A,"1,3M","259,5K","5,67%",12.486.809 VND,"Sản phẩm gia dụng, Làm đẹp và chăm sóc cá nhân, Thương mại điện tử (không dùng ứng dụng), Nước hoa",Cuộc sống hàng ngày
starletste_official,STARLETSTE ⭐️,Việt Nam,76.2,93.2,N/A,"668,8K","84,9K","12,82%",1.044.956 VND,"Ứng dụng, Tin tức và Giải trí","Âm nhạc, Hát nhép"
playtogethervng.official,Play Together VNG,Việt Nam,79.4,92.4,N/A,"2,3M","197,2K","2,38%",4.089.588 VND,"Ứng dụng, Thương mại điện tử (không dùng ứng dụng), Game",Trò chơi điện tử
hlinhtunx,điệu nhất nhà,Việt Nam,77.2,91.6,N/A,"620,6K",46K,"14,57%",2.674.156 VND,,"Ảnh tự chụp, Hát nhép, Hướng dẫn & mẹo làm đẹp"
2001chung,Chung Thị Chung✅,Việt Nam,74.7,90.2,N/A,"3,9M","247,1K","4,86%",5.676.872 VND,,Hát nhép
chunpopofficial,Chun Pop,Việt Nam,76.9,93.0,N/A,"1,9M","321,7K","6,21%",5.000.000 VND,Game,"Tiểu phẩm, Hài kịch"
trnkhnh2576,Thương Hoàng,Việt Nam,78.9,95.8,N/A,"1,1M","842,7K","8,28%",13.595.000 VND,,Nhảy
haidangrevieww,Hải Đăng Review,Việt Nam,76.3,N/A,N/A,"2,5M",390K,"3,48%",15.894.170 VND,"Sức khỏe, Thực phẩm và Đồ uống, Thương mại điện tử (không dùng ứng dụng)",Mukbang & Nếm thức ăn
manhoangcao,Cao Hoàng Mẫn,Việt Nam,74.5,N/A,N/A,"3,4M","270,6K","5,61%",22.000.000 VND,"Thực phẩm và Đồ uống, Tin tức và Giải trí","Mukbang & Nếm thức ăn, Du lịch, Khám phá nhà hàng"
